,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country
310399,RzmH3IrsCPE,17.24.11,2017-11-22T15:58:34.000Z,399980,13887,2089,2111,False,False,Comedy,RU
119543,6Bxi6hXhNyo,18.06.03,2018-03-05T14:59:53.000Z,114983,10392,314,1513,False,False,Music,FR
294659,ZM3v1KAukdw,17.18.12,2017-12-17T16:55:34.000Z,98079,1322,270,117,False,False,People & Blogs,RU
254486,rMYhaIjueg8,17.13.12,2017-12-12T08:22:37.000Z,63641,597,30,4,False,False,Entertainment,MX
112166,h7VxVtDtLfY,17.11.12,2017-12-09T19:31:35.000Z,30017,79,16,7,False,False,News & Politics,FR
358462,eKwAib6LosM,17.24.11,2017-11-17T05:00:01.000Z,474712,17620,202,922,False,False,Music,US
214262,bl0-sOSZ0Nk,18.23.02,2018-02-22T09:00:01.000Z,3310,24,0,0,False,False,Sports,JP
71463,jhdW-gPzVgs,17.18.11,2017-11-17T12:30:01.000Z,6031,596,21,36,False,False,Howto & Style,DE
192025,qwgXnOQ7ebo,17.12.12,2017-12-06T10:57:51.000Z,1196495,2027,771,313,False,False,People & Blogs,IN
303950,c3BnZYschgs,17.11.12,2017-12-09T14:06:54.000Z,609636,51412,5907,7011,False,False,Entertainment,RU
74324,hWKelHZ3vag,18.01.02,2018-01-30T10:46:44.000Z,3247,33,4,0,False,False,News & Politics,DE
43974,7OVwntvS0jI,17.27.12,2017-12-24T10:00:00.000Z,828099,45953,3547,4026,False,False,Entertainment,DE
53697,Gb1Am-33gTk,18.17.05,2018-05-15T22:10:04.000Z,1501111,84173,2016,5640,False,False,Entertainment,DE
203903,vSyEDPC9710,18.10.05,2018-05-09T08:05:43.000Z,28376,1500,19,375,False,False,People & Blogs,JP
331697,8pgwrHDXbs0,18.07.06,2018-05-13T04:30:01.000Z,1516004,15307,992,551,False,False,Music,RU
254202,xPQ3q_ZStKg,17.09.12,2017-12-08T13:00:08.000Z,24897,470,3,94,False,False,Entertainment,MX
307297,TyBG0GGov10,18.20.04,2018-04-19T11:05:05.000Z,18305,2407,302,112,False,False,Entertainment,RU
233951,NgU1iYtpxuo,18.06.06,2018-06-02T04:15:01.000Z,931740,9151,885,2633,False,False,Sports,KR
19806,eu2TH7WpnXM,18.29.05,2018-05-28T20:18:52.000Z,162792,11364,165,1172,False,False,Entertainment,CA
307155,tD99WhUKJR4,18.16.04,2018-04-13T19:00:03.000Z,4083293,84672,5958,3008,False,False,Entertainment,RU
9360,eick8iAJa4E,17.13.12,2017-12-12T14:05:20.000Z,28785,99,15,29,False,False,Entertainment,CA
321581,U3TGxtW5HgU,18.23.04,2018-04-22T06:49:25.000Z,140068,913,231,0,True,False,News & Politics,RU
295657,cZnUhqSeip4,18.03.01,2017-12-31T12:16:30.000Z,677287,35826,32997,10667,False,False,People & Blogs,RU
194648,WfS23BjIvjY,18.09.05,2018-05-08T16:54:27.000Z,199591,23363,671,3153,False,False,Science & Technology,IN
273068,XXeu_48OCj0,18.03.05,2018-05-03T00:47:33.000Z,7256,2250,8,501,False,False,People & Blogs,MX
325561,qDqZUJqL5qg,18.16.01,2018-01-15T15:00:04.000Z,37420,180,37,10,False,False,Film & Animation,RU
37603,04uUFyIj-mc,18.29.03,2018-03-25T11:16:18.000Z,989958,2514,1232,751,False,False,Sports,CA
297802,LoCHdWHv4Ww,18.13.02,2018-02-12T02:00:00.000Z,26384,200,21,103,False,False,People & Blogs,RU
37504,5ahOHSDX-lA,18.23.03,2018-03-21T22:59:20.000Z,304057,10630,152,924,False,False,Sports,CA
115602,0Vn5tHu9pqw,17.03.12,2017-12-02T15:08:05.000Z,176937,1530,136,304,False,False,Film & Animation,FR
300742,Amg_TyzTfHw,18.19.04,2018-04-19T03:17:24.000Z,4974,554,29,44,False,False,People & Blogs,RU
355798,s1yV1kTrVGA,18.31.05,2018-05-20T21:57:04.000Z,691057,3735,225,0,True,False,News & Politics,US
228573,Y8mk3HzoY3A,18.09.02,2018-02-06T11:40:01.000Z,138847,733,121,324,False,False,News & Politics,KR
111726,jCL3UdXldxw,17.20.11,2017-11-19T02:53:43.000Z,14415,315,17,305,False,False,News & Politics,FR
33351,ELo58FBl3R8,17.24.11,2017-11-23T16:02:11.000Z,617192,31921,480,2545,False,False,Science & Technology,CA
320249,OzFFzTguMeQ,18.08.03,2018-03-07T19:46:41.000Z,38540,4289,8384,916,False,False,News & Politics,RU
65876,y3smmpE1afw,17.14.12,2017-12-12T19:07:58.000Z,53492,1781,19,216,False,False,Film & Animation,DE
260891,5r-07Lsb2Mo,18.22.03,2018-03-21T22:00:00.000Z,213831,12083,701,3968,False,False,Entertainment,MX
250352,H2hWwHuRTs0,17.20.12,2017-12-19T05:03:57.000Z,15595,1122,6,243,False,False,Gaming,KR
284682,hlMa5OloncA,18.03.05,2018-05-02T02:14:38.000Z,334555,14333,319,619,False,False,Comedy,MX
24171,v85-O2x9e7Q,18.01.05,2018-04-30T21:41:31.000Z,5336,6,0,10,False,False,News & Politics,CA
112194,7EXHAf33mF0,17.12.12,2017-12-11T10:35:13.000Z,143956,2149,194,664,False,False,News & Politics,FR
288261,f23FfjH0QjY,18.06.05,2018-05-06T00:38:35.000Z,113231,1236,107,28,False,False,Sports,MX
96256,gMwbzAq6TAI,18.19.02,2018-02-18T13:04:24.000Z,15394,1278,72,217,False,False,Gaming,FR
20443,qA6vrnwz_AI,18.07.06,2018-06-05T18:21:02.000Z,669269,3809,449,1210,False,False,Entertainment,CA
104604,eex_uTs6iw0,18.15.03,2018-03-14T17:54:42.000Z,34040,0,0,64,False,True,People & Blogs,FR
87348,-XIThvSAGHI,18.23.03,2018-03-21T16:15:34.000Z,276788,16572,274,659,False,False,Entertainment,FR
87867,QIWRIMDXQyA,18.04.04,2018-04-03T00:00:01.000Z,228630,2904,110,644,False,False,Entertainment,FR
90691,dxX0FsrcnG8,18.06.06,2018-06-05T21:24:34.000Z,194391,3534,187,519,False,False,Entertainment,FR
305662,sy0hOX0p1IY,18.11.02,2018-02-10T16:21:50.000Z,8457,1398,53,266,False,False,Entertainment,RU
68035,k6RMOnJEL-o,18.23.01,2018-01-22T10:30:01.000Z,521953,16600,737,1700,False,False,Autos & Vehicles,DE
64552,tQHlOjMGS-M,18.12.05,2018-05-08T12:30:03.000Z,743574,34891,2194,7482,False,False,People & Blogs,DE
287767,u-_Hqn6HPMg,18.02.04,2018-04-01T23:32:50.000Z,18945,77,8,32,False,False,Sports,MX
