,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration
256306,GK6gPiWoAiI,18.09.01,2018-01-08T17:00:02.000Z,196544,12955,232,2268,FALSE,FALSE,Entertainment,MX,3:09
169512,JmFSZdrlJco,17.07.12,2017-12-06T07:27:01.000Z,376498,2628,293,648,FALSE,FALSE,Entertainment,IN,2:00
296651,Oj-70unSKAQ,18.23.01,2018-01-22T15:00:02.000Z,225651,56119,245,1479,FALSE,FALSE,People & Blogs,RU,7:15
226725,T35-UXcH1po,17.16.12,2017-12-13T06:00:25.000Z,68260,818,85,194,FALSE,FALSE,News & Politics,KR,
359972,__-22AJoFxY,18.17.01,2018-01-12T13:27:11.000Z,270838,31167,83,1624,FALSE,FALSE,Music,US,4:10
82108,VMsrHhGiCKs,17.30.11,2017-11-28T21:38:02.000Z,156379,670,94,97,FALSE,FALSE,Entertainment,FR,49:18:00
257333,ByRJSQx5wYw,18.27.01,2018-01-27T01:20:15.000Z,5683,17,7,3,FALSE,FALSE,Entertainment,MX,
327265,5hSmwUV0kKM,18.20.05,2018-05-18T20:06:02.000Z,146198,599,155,166,FALSE,FALSE,Film & Animation,RU,
166556,OlKEngWvLY4,18.22.04,2018-04-20T07:13:51.000Z,52818,87,123,101,FALSE,FALSE,News & Politics,IN,1:09
221251,kmTXKUnvLKI,18.31.01,2018-01-29T04:27:55.000Z,59788,1196,12,229,FALSE,FALSE,People & Blogs,KR,0:57
48157,V21PHG_xzkI,18.24.02,2018-02-23T21:25:42.000Z,45708,272,44,133,FALSE,FALSE,Entertainment,DE,
329808,Q2a_f27jM3c,18.08.06,2018-06-07T08:00:01.000Z,72742,4478,165,424,FALSE,FALSE,Howto & Style,RU,13:30
69705,BgXp3GgThMg,18.06.02,2018-02-05T16:00:00.000Z,39033,1536,21,30,FALSE,FALSE,Sports,DE,2:54
86513,0ALSsZ10Zno,18.05.03,2018-03-04T20:08:36.000Z,28604,1444,128,632,FALSE,FALSE,Entertainment,FR,11:53
100945,Y4kgTHacMyA,18.30.05,2018-05-29T13:16:37.000Z,21922,944,13,194,FALSE,FALSE,Sports,FR,28:25:00
32805,9v9xO8h0Tfo,18.28.04,2018-04-27T06:18:55.000Z,89926,343,14,22,FALSE,FALSE,Film & Animation,CA,
162362,HilwZ2E5PX8,17.14.11,2017-11-13T02:19:21.000Z,31421,57,12,4,FALSE,FALSE,News & Politics,IN,
24913,RJoVQZfmmjY,18.07.06,2018-06-06T06:25:45.000Z,157013,910,244,469,FALSE,FALSE,News & Politics,CA,
282481,dZcF6BXhapE,18.02.05,2018-05-01T21:20:48.000Z,31153,2330,19,152,FALSE,FALSE,Music,MX,
109244,iEUkL3B6p5s,18.16.03,2018-03-15T17:49:12.000Z,4969,433,8,11,FALSE,FALSE,Howto & Style,FR,43:06:00
109778,EWOUfbMiJbA,18.07.05,2018-05-06T19:08:25.000Z,4571,210,10,14,FALSE,FALSE,Howto & Style,FR,15:06
273083,o24dMlsrVP8,18.04.05,2018-05-03T23:15:07.000Z,137484,552,95,222,FALSE,FALSE,People & Blogs,MX,
283665,hfiwfK2cfLA,17.28.12,2017-12-27T17:41:00.000Z,2899,117,2,7,FALSE,FALSE,Comedy,MX,
20534,sS0m0mEyXic,18.08.06,2018-06-07T16:00:38.000Z,215991,11153,107,3414,FALSE,FALSE,Entertainment,CA,10:12
112215,jvqlUbs3hOM,17.13.12,2017-12-12T07:52:22.000Z,198065,51,39,27,FALSE,FALSE,News & Politics,FR,
106983,yUppvo1qOx4,18.13.06,2018-06-10T16:00:03.000Z,89989,5019,333,230,FALSE,FALSE,People & Blogs,FR,6:44
221959,LdbN3qAQZ6M,18.19.02,2018-02-17T05:59:00.000Z,73479,3575,67,593,FALSE,FALSE,People & Blogs,KR,8:02
310976,ZpP7pJjhfRY,17.31.12,2017-12-30T19:47:48.000Z,214835,20956,200,3194,FALSE,FALSE,Comedy,RU,21:34
71773,nyQx1QJbmpQ,17.28.12,2017-12-26T19:00:02.000Z,24913,686,77,137,FALSE,FALSE,Howto & Style,DE,11:20
328294,SBPVM_MW18E,17.29.12,2017-12-28T13:52:20.000Z,39135,2297,27,209,FALSE,FALSE,Howto & Style,RU,18:56
306667,MrMcCQnXwcg,18.21.03,2018-03-20T19:10:17.000Z,30532,243,39,153,FALSE,FALSE,Entertainment,RU,2:49
13552,1uR3kQx5Otw,18.20.02,2018-02-19T19:14:20.000Z,133649,3462,108,1331,FALSE,FALSE,Entertainment,CA,3:24
263850,NowjCwuwDQk,18.11.05,2018-05-11T03:31:48.000Z,8720,363,10,339,FALSE,FALSE,Entertainment,MX,
347608,gNXoxfeyzmI,18.06.04,2018-04-01T19:09:39.000Z,1136757,98164,1570,9447,FALSE,FALSE,Comedy,US,0:53
15409,Vtiz_GDgKzg,18.20.03,2018-03-19T07:28:55.000Z,135800,790,73,103,FALSE,FALSE,Entertainment,CA,28:17:00
193673,HraNmhX3By0,18.19.04,2018-04-16T12:17:39.000Z,783327,3037,385,165,FALSE,FALSE,People & Blogs,IN,3:38
303183,gJZuRFDgUwk,18.14.06,2018-06-12T05:46:17.000Z,69336,1923,195,271,FALSE,FALSE,People & Blogs,RU,
324481,EpEPYxadSgI,18.03.05,2018-05-02T06:00:01.000Z,275567,11876,1181,2341,FALSE,FALSE,Gaming,RU,33:08:00
12662,hCDkDR14hVo,18.05.02,2018-02-04T17:01:06.000Z,123826,8778,54,1382,FALSE,FALSE,Entertainment,CA,18:08
193399,c9bO7wRpUsA,18.20.03,2018-03-08T03:11:17.000Z,602741,1274,382,86,FALSE,FALSE,People & Blogs,IN,1:00
188962,EIG6CAj_fYY,18.06.02,2018-02-03T08:36:35.000Z,2060337,20457,354,891,FALSE,FALSE,Music,IN,3:28
253433,Ompd6RLac0E,17.26.11,2017-11-24T22:00:00.000Z,199003,26454,2199,6824,FALSE,FALSE,Entertainment,MX,0:57
36830,aMwzUVmT-9c,18.06.02,2018-02-04T19:47:05.000Z,15881,77,4,6,FALSE,FALSE,Sports,CA,1:19
