,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration
100313,BIiVSBiHKPo,18.30.04,2018-04-29T05:03:59.000Z,779723,1989,190,962,False,False,Sports,FR,
301844,VsWzjqAyIvY,18.11.05,2018-05-10T05:00:03.000Z,47327,6310,47,448,False,False,People & Blogs,RU,2:00
70708,4EHWpm1Aq_Q,18.23.04,2018-04-22T17:46:42.000Z,3414,205,17,196,False,False,Sports,DE,
133038,kGOmPmILndU,17.15.11,2017-11-07T13:30:04.000Z,1500067,65867,1836,5638,False,False,Music,GB,2:45
303435,KlJbIxWJsRA,17.23.11,2017-11-22T16:23:05.000Z,271944,18582,1308,2257,False,False,Entertainment,RU,
240452,PqCNicmUs8A,18.16.01,2018-01-11T11:57:22.000Z,676161,10551,443,3213,False,False,Entertainment,KR,4:29
94476,PevUW-7xI_8,18.25.04,2018-04-24T16:24:05.000Z,7380,48,3,4,False,False,Comedy,FR,3:17
207069,Iy9HGvfk3t8,18.16.02,2018-02-15T04:52:23.000Z,92893,523,128,67,False,False,Entertainment,JP,
319940,mgJVbAK4Hw4,18.24.02,2018-02-23T21:17:51.000Z,13001,199,388,340,False,False,News & Politics,RU,17:56
113916,Cawa9B3NvcM,18.24.03,2018-03-23T14:34:27.000Z,41976,0,0,0,True,True,News & Politics,FR,
291167,PKxzKHDlNo4,17.30.11,2017-11-30T01:23:18.000Z,1576,51,3,2,False,False,Science & Technology,MX,2:04
181770,yGQHtyQCZnM,18.13.05,2018-05-12T01:21:22.000Z,102126,722,70,41,False,False,Entertainment,IN,10:59
175609,KRw9cGWawnA,18.22.02,2018-02-21T10:00:00.000Z,78108,428,56,17,False,False,Entertainment,IN,22:14
51099,wcXks8e5rLY,18.05.04,2018-04-05T05:00:04.000Z,1183,167,2,19,False,False,Entertainment,DE,
188065,fRbIqg5Kz7Q,17.16.12,2017-12-11T13:09:09.000Z,1669181,60410,2783,2316,False,False,Music,IN,
174358,j7MwuBLQW7k,18.06.02,2018-02-04T06:34:47.000Z,43183,1574,38,121,False,False,Entertainment,IN,2:43:32
294277,2_QrBF0FpcM,17.11.12,2017-12-10T11:48:27.000Z,560185,6274,157,1550,False,False,People & Blogs,RU,
276248,r-mc0YPWSi4,18.22.04,2018-04-04T16:20:08.000Z,13091,392,15,20,False,False,News & Politics,MX,
97327,JjDyC6aHauM,17.30.11,2017-11-28T17:21:23.000Z,66468,3023,47,347,False,False,Sports,FR,5:49
251192,bB6OxoMgnGw,18.18.04,2018-04-14T13:38:44.000Z,914189,30208,649,6454,False,False,Gaming,KR,
73732,Y3izL7uMGVg,17.24.12,2017-12-23T13:46:59.000Z,3809,269,9,64,False,False,News & Politics,DE,15:05
