,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration
301844,VsWzjqAyIvY,18.11.05,2018-05-10T05:00:03.000Z,47327,6310,47,448,False,False,People & Blogs,RU,2:00
133038,kGOmPmILndU,17.15.11,2017-11-07T13:30:04.000Z,1500067,65867,1836,5638,False,False,Music,GB,2:45
240452,PqCNicmUs8A,18.16.01,2018-01-11T11:57:22.000Z,676161,10551,443,3213,False,False,Entertainment,KR,4:29
94476,PevUW-7xI_8,18.25.04,2018-04-24T16:24:05.000Z,7380,48,3,4,False,False,Comedy,FR,3:17
319940,mgJVbAK4Hw4,18.24.02,2018-02-23T21:17:51.000Z,13001,199,388,340,False,False,News & Politics,RU,17:56
291167,PKxzKHDlNo4,17.30.11,2017-11-30T01:23:18.000Z,1576,51,3,2,False,False,Science & Technology,MX,2:04
181770,yGQHtyQCZnM,18.13.05,2018-05-12T01:21:22.000Z,102126,722,70,41,False,False,Entertainment,IN,10:59
175609,KRw9cGWawnA,18.22.02,2018-02-21T10:00:00.000Z,78108,428,56,17,False,False,Entertainment,IN,22:14
174358,j7MwuBLQW7k,18.06.02,2018-02-04T06:34:47.000Z,43183,1574,38,121,False,False,Entertainment,IN,2:43:32
97327,JjDyC6aHauM,17.30.11,2017-11-28T17:21:23.000Z,66468,3023,47,347,False,False,Sports,FR,5:49
73732,Y3izL7uMGVg,17.24.12,2017-12-23T13:46:59.000Z,3809,269,9,64,False,False,News & Politics,DE,15:05
85842,2VCe61FWkPM,18.19.02,2018-02-18T10:06:22.000Z,5012,238,3,17,False,False,Entertainment,FR,6:37
75238,fxVO2OKEht0,18.04.04,2018-04-01T21:46:40.000Z,41629,1472,39,163,False,False,News & Politics,DE,3:25
370351,qB24uIe2Q7c,18.30.04,2018-04-23T17:00:04.000Z,951177,50807,1037,3739,False,False,Howto & Style,US,13:50
20600,3jRDH1hSnpM,18.09.06,2018-06-08T15:26:27.000Z,74406,1680,14,88,False,False,Entertainment,CA,1:28
111770,26V-SFnmGG8,17.22.11,2017-11-21T19:13:42.000Z,1434,283,0,23,False,False,News & Politics,FR,10:05
313788,r3uACJHRioY,18.15.03,2018-03-13T13:59:29.000Z,673737,13483,642,992,False,False,Education,RU,3:30
189677,sPK8bwoqJvI,18.17.03,2018-03-14T04:30:00.000Z,2940141,81501,2957,4638,False,False,Music,IN,4:17
70031,iDTz8ozi5_A,18.27.02,2018-02-26T05:30:00.000Z,9961,612,11,117,False,False,Sports,DE,18:22
301434,wwDUDgDoJDg,18.02.05,2018-05-01T12:14:27.000Z,14434,832,75,225,False,False,People & Blogs,RU,23:50
98515,PyeaG6POwnk,18.29.01,2018-01-28T14:23:57.000Z,32085,208,11,48,False,False,Sports,FR,5:38
31045,E4vGp7DV2QM,18.01.06,2018-05-31T19:00:01.000Z,617494,11245,715,1684,False,False,Howto & Style,CA,10:24
226335,_2oDx-y7lmo,17.06.12,2017-12-05T07:12:00.000Z,33584,0,0,185,False,True,News & Politics,KR,27:40
74151,hCO4YradZRM,18.22.01,2018-01-18T11:37:01.000Z,508237,1749,2544,222,False,False,News & Politics,DE,1:24
292128,dGQwmPawvPs,18.26.02,2018-02-26T02:18:11.000Z,3380,30,2,4,False,False,Gaming,MX,1:05
304211,l5vxZlJtWqQ,17.20.12,2017-12-19T20:00:07.000Z,32583,252,23,91,False,False,Entertainment,RU,28:16
80737,pqYnmLEj_O8,18.07.04,2018-04-06T07:00:43.000Z,593938,24450,661,3415,False,False,Science & Technology,DE,0:06
61359,6BJOyEo05Ac,18.15.01,2018-01-13T23:48:22.000Z,26763,393,23,12,False,False,People & Blogs,DE,3:36
181754,j5maoYx2_F4,18.13.05,2018-05-10T11:18:19.000Z,944250,19750,2847,1688,False,False,Entertainment,IN,29:20
108238,5ZdLKLcTFEk,17.23.12,2017-12-22T11:00:00.000Z,5904,414,8,23,False,False,Howto & Style,FR,2:50
96285,AVL-0moiqEw,18.22.02,2018-02-21T13:01:39.000Z,9571,803,16,155,False,False,Gaming,FR,14:30
268786,bZ4kq0Qicx4,18.19.01,2018-01-17T15:58:01.000Z,1475239,117807,6793,6029,False,False,People & Blogs,MX,6:49
265267,dawe1mqjdY8,18.01.06,2018-05-31T15:30:00.000Z,16529,584,18,45,False,False,Entertainment,MX,2:17
228374,Woay1rvs9ko,18.03.02,2018-02-02T11:18:19.000Z,19612,108,12,148,False,False,News & Politics,KR,2:40
121768,bbdo0m2Hc_4,18.01.02,2018-01-31T11:30:01.000Z,5671,625,7,67,False,False,Pets & Animals,FR,10:26
279129,Saw00EvdAUU,18.28.03,2018-03-28T00:00:00.000Z,16150,1854,24,157,False,False,Howto & Style,MX,6:59
19969,vUltH53kldI,18.31.05,2018-05-30T16:00:04.000Z,44417,756,14,68,False,False,Entertainment,CA,1:06
298831,tfLCdylb38s,18.05.03,2018-03-04T19:32:22.000Z,4147,336,5,118,False,False,People & Blogs,RU,7:59
217849,GJ_NYz_W2iY,18.03.04,2018-04-02T09:52:43.000Z,28732,212,51,46,False,False,Gaming,JP,6:39
302085,aQUtaRDoknI,18.17.05,2018-05-16T15:04:06.000Z,37704,1984,46,46,False,False,People & Blogs,RU,7:12
100120,daIMbBJVuwQ,18.20.04,2018-04-19T15:00:06.000Z,82524,9255,54,3104,False,False,Sports,FR,7:16
361456,DGhPGH2YROA,18.14.03,2018-02-27T17:57:36.000Z,2408990,123245,1102,4033,False,False,Music,US,3:28
49320,toh9VPkxqrs,18.11.03,2018-03-08T15:00:04.000Z,321296,19692,1117,680,False,False,Entertainment,DE,13:24
262295,KrC6GYA70Y4,18.18.04,2018-04-17T23:59:54.000Z,38874,711,47,126,False,False,Entertainment,MX,1:22:28
61860,-iTzfs0wMuc,18.02.02,2018-02-01T12:55:27.000Z,45318,157,35,60,False,False,People & Blogs,DE,1:31:17
116610,8PQYZYh-gBk,18.06.03,2018-03-05T22:37:41.000Z,13002,1249,32,446,False,False,Film & Animation,FR,18:52
272636,bu3UPssu6GY,18.22.04,2018-04-21T22:31:03.000Z,24714,140,5,12,False,False,People & Blogs,MX,0:43
107140,IG3EbFViiH0,17.10.12,2017-12-08T18:40:21.000Z,19526,1197,28,0,True,False,Education,FR,25:00
114792,SYMns2mrWnY,18.09.05,2018-05-08T11:46:04.000Z,15468,1836,5,230,False,False,News & Politics,FR,15:47
