,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,Unnamed: 0,duration_in_minutes
0,GK6gPiWoAiI,18.09.01,2018-01-08T17:00:02.000Z,196544,12955,232,2268,False,False,Entertainment,MX,,3
1,JmFSZdrlJco,17.07.12,2017-12-06T07:27:01.000Z,376498,2628,293,648,False,False,Entertainment,IN,,2
2,Oj-70unSKAQ,18.23.01,2018-01-22T15:00:02.000Z,225651,56119,245,1479,False,False,People & Blogs,RU,,7
3,__-22AJoFxY,18.17.01,2018-01-12T13:27:11.000Z,270838,31167,83,1624,False,False,Music,US,,4
4,OlKEngWvLY4,18.22.04,2018-04-20T07:13:51.000Z,52818,87,123,101,False,False,News & Politics,IN,,1
5,kmTXKUnvLKI,18.31.01,2018-01-29T04:27:55.000Z,59788,1196,12,229,False,False,People & Blogs,KR,,1
6,Q2a_f27jM3c,18.08.06,2018-06-07T08:00:01.000Z,72742,4478,165,424,False,False,Howto & Style,RU,,13
7,BgXp3GgThMg,18.06.02,2018-02-05T16:00:00.000Z,39033,1536,21,30,False,False,Sports,DE,,3
8,0ALSsZ10Zno,18.05.03,2018-03-04T20:08:36.000Z,28604,1444,128,632,False,False,Entertainment,FR,,12
9,EWOUfbMiJbA,18.07.05,2018-05-06T19:08:25.000Z,4571,210,10,14,False,False,Howto & Style,FR,,15
10,sS0m0mEyXic,18.08.06,2018-06-07T16:00:38.000Z,215991,11153,107,3414,False,False,Entertainment,CA,,10
11,yUppvo1qOx4,18.13.06,2018-06-10T16:00:03.000Z,89989,5019,333,230,False,False,People & Blogs,FR,,7
12,LdbN3qAQZ6M,18.19.02,2018-02-17T05:59:00.000Z,73479,3575,67,593,False,False,People & Blogs,KR,,8
13,ZpP7pJjhfRY,17.31.12,2017-12-30T19:47:48.000Z,214835,20956,200,3194,False,False,Comedy,RU,,22
14,nyQx1QJbmpQ,17.28.12,2017-12-26T19:00:02.000Z,24913,686,77,137,False,False,Howto & Style,DE,,11
15,SBPVM_MW18E,17.29.12,2017-12-28T13:52:20.000Z,39135,2297,27,209,False,False,Howto & Style,RU,,19
16,MrMcCQnXwcg,18.21.03,2018-03-20T19:10:17.000Z,30532,243,39,153,False,False,Entertainment,RU,,3
17,1uR3kQx5Otw,18.20.02,2018-02-19T19:14:20.000Z,133649,3462,108,1331,False,False,Entertainment,CA,,3
18,gNXoxfeyzmI,18.06.04,2018-04-01T19:09:39.000Z,1136757,98164,1570,9447,False,False,Comedy,US,,1
19,HraNmhX3By0,18.19.04,2018-04-16T12:17:39.000Z,783327,3037,385,165,False,False,People & Blogs,IN,,4
20,hCDkDR14hVo,18.05.02,2018-02-04T17:01:06.000Z,123826,8778,54,1382,False,False,Entertainment,CA,,18
21,c9bO7wRpUsA,18.20.03,2018-03-08T03:11:17.000Z,602741,1274,382,86,False,False,People & Blogs,IN,,1
22,EIG6CAj_fYY,18.06.02,2018-02-03T08:36:35.000Z,2060337,20457,354,891,False,False,Music,IN,,3
23,Ompd6RLac0E,17.26.11,2017-11-24T22:00:00.000Z,199003,26454,2199,6824,False,False,Entertainment,MX,,1
24,aMwzUVmT-9c,18.06.02,2018-02-04T19:47:05.000Z,15881,77,4,6,False,False,Sports,CA,,1
25,RdVyEaBfSwA,18.21.03,2018-03-20T12:26:38.000Z,32039,39,17,7,False,False,News & Politics,IN,,1
26,Y_n19wVwYH4,18.17.01,2018-01-16T16:57:31.000Z,60425,6337,118,499,False,False,Sports,FR,,4
27,zSaAGuEwzwY,17.22.12,2017-12-20T10:40:30.000Z,44954,2697,83,478,False,False,Entertainment,KR,,17
28,Z0tJhHLrwJQ,17.26.11,2017-11-25T12:00:40.000Z,5017,444,13,118,False,False,Film & Animation,RU,,5
