,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration_in_minutes,puplished_day,published_in_weekend
0,p9zTSvEpt_8,2018-02-05,2007-06-25,98981,615,12,138,False,False,Music,GB,5,Monday,False
1,-37nIo_tLnk,2018-01-02,2009-12-15,3170,4,0,1,False,False,Sports,US,1,Tuesday,False
2,K9kVsnTQh-g,2018-01-27,2010-05-11,73902,261,55,96,False,False,Science & Technology,US,2,Tuesday,False
6,GDUncuEErzQ,2017-12-07,2012-12-10,7753,29,3,3,False,False,Education,US,4,Monday,False
8,W_pH4u5-NhE,2017-12-08,2013-09-08,5682,21,2,0,False,False,Comedy,US,1,Sunday,True
9,_OkxKKsL2u8,2018-01-01,2014-01-12,146885,844,52,59,False,False,Comedy,CA,1,Sunday,True
10,maU5rLgMvWI,2018-01-31,2014-01-29,54824,266,9,11,False,False,Music,DE,3,Wednesday,False
11,F6rBIWN8SsM,2017-11-20,2015-03-10,193184,887,66,438,False,False,Comedy,GB,1,Tuesday,False
12,j9n7Boia0po,2017-12-26,2016-05-21,10655,17,0,6,False,False,Sports,US,2,Saturday,True
13,qXWIxiwNhqY,2018-02-24,2016-08-03,16764,3,13,1,False,False,Entertainment,DE,1,Wednesday,False
14,s46-P2saFBU,2017-12-22,2016-11-09,203072,45,33,2,False,False,Entertainment,CA,1,Wednesday,False
15,cHsEHPH1v6o,2017-12-17,2017-03-16,11696,205,0,0,False,False,People & Blogs,RU,1,Thursday,False
17,0mlNzVSJrT0,2017-11-17,2017-04-21,122634,2908,210,595,False,False,People & Blogs,US,1,Friday,False
18,KtNqf5NqBf8,2018-02-22,2017-05-22,2214,10,11,5,False,False,Comedy,RU,1,Monday,False
19,eQPoVNrCZTk,2018-02-04,2017-05-25,18543,173,1,26,False,False,Music,GB,7,Thursday,False
20,Vms4alnZo5s,2017-12-28,2017-06-23,23385,825,9,0,True,False,People & Blogs,RU,1,Friday,False
22,9SwP6eoBcko,2018-02-13,2017-08-01,265854,1510,2477,0,True,False,People & Blogs,RU,5,Tuesday,False
25,mqf0f1h8ZTU,2018-01-28,2017-10-20,2078,4,0,0,False,False,Sports,US,1,Friday,False
26,oj8JK6c5x3M,2018-01-16,2017-10-31,174836,8763,185,1892,False,False,Entertainment,GB,4,Tuesday,False
27,bCznvAkpwWs,2017-11-15,2017-11-03,45036,689,19,0,False,False,Film & Animation,GB,1,Friday,False
28,Plh2sfrbdlc,2017-11-15,2017-11-03,205177,14099,95,1125,False,False,Entertainment,GB,7,Friday,False
29,1eS_17CG9sk,2017-11-14,2017-11-05,64691,5540,42,954,False,False,People & Blogs,GB,11,Sunday,True
31,bRlXatOvsZU,2017-11-18,2017-11-06,108081,2352,419,92,False,False,Music,GB,4,Monday,False
32,kGOmPmILndU,2017-11-15,2017-11-07,1500067,65867,1836,5638,False,False,Music,GB,3,Tuesday,False
33,nshmwFK3yd8,2017-11-17,2017-11-07,138991,10009,17,306,False,False,Entertainment,GB,3,Tuesday,False
34,6jV798JxoTY,2017-11-19,2017-11-07,67113,3870,80,516,False,False,People & Blogs,GB,26,Tuesday,False
35,vht9VHo8r5c,2017-11-15,2017-11-07,1153057,26074,479,942,False,False,Entertainment,GB,7,Tuesday,False
36,v3nuxG2Q6Ew,2017-11-14,2017-11-08,662980,18875,2323,3995,False,False,Entertainment,IN,1,Wednesday,False
37,x8eLIJAM58M,2017-11-14,2017-11-08,812007,5894,951,851,False,False,Entertainment,US,2,Wednesday,False
38,l9nGCJlDclQ,2017-11-18,2017-11-08,55572,191,191,83,False,False,Entertainment,GB,7,Wednesday,False
40,3iXwXYflCSI,2017-11-19,2017-11-09,11619,856,17,198,False,False,Comedy,GB,8,Thursday,False
41,Rq9-mW6HgQE,2017-11-15,2017-11-09,908489,12261,339,1600,False,False,Entertainment,US,7,Thursday,False
42,fCTKDn3Q8xQ,2017-11-15,2017-11-09,1185773,45513,1378,4794,False,False,People & Blogs,US,4,Thursday,False
43,J_QGZspO4gg,2017-11-15,2017-11-09,1882868,88072,1219,6083,False,False,Music,US,3,Thursday,False
44,BEweWXa5Twk,2017-11-14,2017-11-09,471266,23634,460,1714,False,False,Howto & Style,US,13,Thursday,False
45,JuP1Z8xpRb8,2017-11-14,2017-11-09,27010,1666,36,150,False,False,Entertainment,US,4,Thursday,False
46,YHDbsyyjld0,2017-11-14,2017-11-09,46571,4250,16,408,False,False,Pets & Animals,US,5,Thursday,False
47,QldBP574S4I,2017-11-14,2017-11-09,35401,1309,27,39,False,False,Music,CA,4,Thursday,False
48,SOH10kDZtqU,2017-11-14,2017-11-09,105477,3150,26,309,False,False,People & Blogs,KR,3,Thursday,False
49,pz95u3UVpaM,2017-11-14,2017-11-10,5476737,286268,4083,12254,False,False,Music,US,4,Friday,False
50,htvR_dBs3eg,2017-11-14,2017-11-10,98422,2926,106,798,False,False,Music,US,6,Friday,False
51,exMNBvwCfRY,2017-11-14,2017-11-10,3641421,218587,5809,12649,False,False,Comedy,FR,11,Friday,False
52,2urX1QwMgNI,2017-11-14,2017-11-10,40916,227,1,27,False,False,Entertainment,FR,132,Friday,False
53,ulduUfiTV7M,2017-11-14,2017-11-11,226051,1376,112,144,False,False,Entertainment,CA,45,Saturday,True
54,2ztjIfgquRU,2017-11-14,2017-11-11,108622,2864,34,110,False,False,Autos & Vehicles,DE,5,Saturday,True
55,D1z2sKcSsfY,2017-11-14,2017-11-11,353789,25657,1949,1226,False,False,Comedy,IN,2,Saturday,True
57,T00aGa1ihf8,2017-11-14,2017-11-11,265269,15488,272,655,False,False,Gaming,DE,12,Saturday,True
